"DisplayName","AverageScore"
dzs,4
Mubeen,5
rnr_never_dies,25
itshanney,0
OomJan,0
Robert Mark Bram,1
stoic,2
Gorchestopher H,5
Jonathan Romanowski,0
Muniu,1
overflow,0
Dandy,2
nandeesh,0
Ron's Brain,3
princess,0
Rikki,3
Laxmilal,1
Petr Šnobelt,1
Kenoyer130,3
max tottenham,3
Klinky,4
iamkoa,15
Michal Tjokov,0
Toms Mikoss,21
Minh,2
barophobia,3
gyaani_guy,1
Viktor Larsson,0
tokland,7
Bent André Solheim,2
Paul Looijmans,70
chuckj,17
Saint Domino,7
Gavin H,6
Donato Azevedo,1
denis phillips,6
Andy Hume,25
elif,89
Frank C.,11
Nooshu,1
Johnula,0
Ahammad Firoj,-1
futlib,2
Krang,1
Pola Edward,2
Kahlan,1
capdragon,3
boneill,5
hkalan2007,0
ilkdrl,6
Pittor,0
adeeti,0
xamar,1
Safirio,4
TimeHorse,1
Development 4.0,3
Travis Webb,2
TehNrd,4
seteropere,1
shashank saket,0
user327485,0
Schneems,1
fmaste,6
Mark Blades,2
Elger Mensonides,0
UnknownGuy,4
Finbarr,7
Tim Danner,5
Bruce van der Kooij,11
ikaushan,19
grumblebee,3
Rolf Kristensen,3
Chrisdfer,2
Yary,0
guyndjeng,0
Ramesh India,0
Carlos Rubio,17
Alex Chrome,8
MusuNaji,2
MetalGeorge,0
Om Shukla,-3
Harry Hacker,1
Herks,21
Darragh Bailey,3
Coepr,32
Ananymous,4
ginu,0
evgenyl,3
mattshane,7173
Misplaced,2
dlanod,6
BryanB,3
vesan,6
TheKeys,12
Dave Astle,1
e-anima,0
Collin Burnell,0
JSF_Spring_Dummy,1
Jeppe Mariager-Lam,1
BrunoBrito,0
aautsch,0
Tech0,4
bhavinp,0
Liv MacIntosh,0
Theil,3
Brandon Hilton,2
iBe,0
systemBuilder,7
mat buckland,0
Hari Kishan,1
Jith,0
jrrt,3
ComputerGeek,1
Master Ice,2
Shantanu Mishra,0
Pentatonic,0
Stanni,2
phpuploader,2
