"DisplayName","AverageScore"
zenbot,2
Maxs,4
Ulve,1
cnemelka,0
Kevin Lawrence,1
JoelFan,9
user29982,5
newfie_coder,1
sona,1
douyw,20
pritisikha,0
Michiel Trimpe,0
TwistedSage,1
czlowiek,0
Manvi,0
featZima,0
dev_il,2
icem,0
patterns,0
Sushil Dubey,1
arunjp,0
Konstantin Likhter,2
dirhem,4
Danylo Mysak,5
moax,0
Drasill,2
user381221,1
Hanad,3
Gloz,2
Nico Prananta,17
GGomer,1
Irman,0
user317871,1
Stefan N.,0
paku,11
SP658,1
Rowhawn,2
David Bau,94
Jacob Saylor,4
Marek Maurizio,3
Alex Nikulkov,7
Sumanta Basu,6
cnobile,1
robert oldroyd,0
strangelydim,5
dpn,0
Cooper6581,9
Rob Chuah,9
Dooie,3
AndrewJacksonZA,5
soda01,2
fusi,0
cmour,6
petrpetrov,0
nannerpus,21
unwind,9
Pavel Lishin,1
Andrew Milsark,3
Lyndal,8
ssal,2
Hammy Babar,2
Max021,4
Mankarse,2
pondigi,4
T.S.,1
craigzooka,1
Carl Peto,0
dawnoflife,1
Wheeyls,1
gorzan,1
Woundedbear,2
Guri,3
Sebastian Peters,0
porgi,2
Jonathan Sternberg,3
bbo,2
Wolificus,2
Dennis Collective,4
Azarien,9
pawanpathak,-2
Tyug,1
Carlos Castillo,9
Rinu,0
Tdasads,0
obiyoda,0
Reimund,14
DAK,1
khessels,2
Sean Parent,11
schneigu,2
user269568,0
skimania,2
nic ferrier,0
Dave Hollingworth,9
samfu_1,1
kevinor,1
ponce,2
Ben B.,5
Konstantinos,6
Kiril,5
Joris Timmermans,5
Dean Schulze,5
theLEDHEAD,1
zikoziko,1
cuongptnk,0
claudio brogliato,1
HdN8,3
Chris Bacon,1
Byron Carasco,1
Lord Yorkshire,1
Al Grant,1
cheenu,2
N.A.Reddy,1
fbartho,0
freeaks,0
narthi,3
markonian,1
user243719,0
Deve,0
HEEEEEEELP,0
Andreas B.,3
Everspace,2
idyllhands,0
Uri Cohen,1
Dave Davis,1
vlgalik,1
ckenan,0
Kevin Galligan,47
Bögözi,0
Andrei Maksimenka,1
M Falanga,0
Keith Randall,2
Justin Cherniak,23
jowie,3
Michael Zettler,4
RaYell,10
Chung Pow ,0
Vdex,4
kman99,40
Corehpf,2
cimnine,6
Tryke,54
jheriko,1
zak23,8
teo,3
user190284,7
iMarrero,0
pkchukiss,2
ronmurp,3
socks_swerve,6
tchaz,4
Hanna,1
Troyes234,4
exinocactus,5
msal,4
Angrezy,2
user469083,7
energy.dk,0
Pouya Shayan Arani,-1
Namalak,3
juhvu,0
Jacek Wysocki,0
Iridio,1
meridian,6
naburi,2
seekinghelp,1
b.dot,1
johnny2k,3
la89ondevg,0
phingko,0
Jigs,2
ngzhongcai,6
dododedodonl,10
Claudio Redi,4
Robert Mason,4
Eric Cope,1
xdissent,0
Dragomir Dan,1
Nacho,6
Mark Struzinski,25
mjb,2
MikeZ,14
geo,7
Christopher Lightfoot,1
yky,0
Brave ali Khatri,0
Robert Nadar,5
Jared G,0
Hubery,2
bluescarni,6
Android Developer,1
Wolfin,4
Fábio ZC,4
Manakin85,1
Daniel Assange,12
oskob,0
Anuj Gupta,1
marci,3
Elliot Yap,0
user441402,2
Arockiyaraj,1
ranbir,6
user383817,3
Ajay Pillarisetti,2
salomons,2
Jon C.,0
iSegFault,3
leonbloy,6
user279745,0
Konstantin Haase,26
Cheesle,0
p.magalhaes,2
VuuRWerK,1
shanebonham,9
tcoalson,1
ZeroDivide,1
Stephen Fischer,3
Nils Schmidt,6
serdars,1
reccles,11
David Hollinshead,4
aioria,0
ccdavid,2
Marko Kevac,4
dasha,24
Marqus,2
UberJumper,12
Kim Stebel,6
poop a birck,17
Yuri,4
Stathis Sideris,0
ehdr,9
Offer Kaye,2
masukomi,25
esmajic,1
Papa Burgundy,24
Noel Walters,2
zed111,0
Mrki,2
fif0,0
NormK,7
Mark Bucknell,1
klee,2
Solf,0
K360,-1
gavin19,13
Jered Odegard,1
user100746,6
Edward Beach2,4
AHOYAHOY,1
Ariel Monaco,1
regor,0
Radtoo,1
Boyan Georgiev,3
vlasits,1
junior software,1
Nicko-Mctricko,9
nw.,4
Justin Bur,14
Julio Protzek,1
ZergCow,0
artie scie,0
kuzulis,0
Daniel Hawthorne ,12
drtortoise,1
inaiyo,0
Jimbob,0
David Rudder,1
Sergio Couture,0
Magnus W,3
BurnWithLife,0
pasine,2
pjammer,1
Kentzo,2
random dude,2
jcrossley3,18
bluefear,2
James Wanchai,8
user99143,0
user120324,156
ron0,11
shelfoo,6
stan s,1
user56383,2
namako,5
Demian Garcia,0
user64563,2
RAJA KUMAR,0
Marmot,10
MissingHandle,4
MurrayS,0
Hidehiko,3
ILCARTOLAiO,1
"4e4el",0
reggieboyYEAH,4
Chris Kemp,1
Dan Stocker,0
bFloch,4
user302775,0
user306517,2
Tom Saxton,1
João Passos,2
MichaelCkg,2
"322896",1
Mike Tuersley,3
user226349,0
Race,14
Gats,0
DarthCoder,0
Jeff L.,1
Dean L,15
user151289,2
Semyon,2
Joshua Lee,1
Alex Volovoy,56
Ian Hawes,1
DenaliHardtail,7
DLH,3
Vamsee,29
srnayak,0
zeroanarchy,0
Tobassum Munir,1
Tom Pester,118
Ed Ball,19
David Lin,34
apinstein,6
CajunLuke,1
lloesche,3
Andrei Bularca,1
tecfield,8
jawatim,1
xtempore,14
Awais Khan,-1
Switters,8
Michael Rut,2
LessOverMore,0
notreadbyhumans,1
chrismh,0
Dipmedeep,6
thejuventus,1
Daniel Zacharias,1
muruga,1
MLCWO,1
user304966,20
dhardy,56
Corbin Tarrant,12
psa,0
DrANoel,9
Amiel Martin,2
Vincent Duvernet,6
Jeffrho,4
xiaodai,3
DForck42,5
bradt,5
Stijn Van Loo,1
Leonardo Santagada,2
Harpreet Bhatia,2
Yelonek,3
Libor,2
Jacob de Lacey,5
back2dos,1
Urkle,15
nagates,0
nehz,0
ramoneguru,2
Mbolland,10
Stephen Roller,4
Brains1994,2
Faraz Kelhini,1
Sakis Tourloumpoukis,1
PFlans,0
Nick Olsen,1
kerrygould,2
Marcus Andromeda,2
alfonx,3
zervin,0
bubbles ,1
Jonatan B,2
user317819,0
kopos,5
php_oracle,1
Cranberry Headache,3
Dublinclontarf,1
Jonathon Bolster,4
Acatl Pacheco,7
tavod,0
Dunnie,12
user302935,1
Carlos Alloatti,2
brtc,4
namespaceform,3
Vydee,1
Juliana Machado,0
Winder,3
Axiverse,4
chuckrector,39
dacracot,5
Zenshai,25
Oliver Ruehl,0
cvoeller,0
user80143,1
adario,0
sebastian_oe,1
Doug Stewart,0
Hans Maes,0
wbinford,8
Uli Held,16
davidbuttar,1
Paul Hart,6
user467043,1
stnr,2
DJKylix,1
ereOn,9
Shadow.,0
kawama Mugabiii Dennis,1
senthila007,0
Ajay Pandey,6
vvk,0
magice,1
user228058,1
Alex Dresko,2
TodoInTX,9
Fonze,0
RogerCui,4
Will Jenkins,6
lx.,2
tim_hutton,14
gauri,1
Brian Feaver,2
Alex Dybenko,1
Dergachev,0
CannibalSmith,7
cornz,2
user149634,0
embarus,2
Chocky Chockster,2
jkard883,1
ihatesushi,1
dan_s,0
Anonymous Question Guy,6
Vijayakumar,0
taylorca,0
Tyth,2
Manish Shukla,3
msosar,0
Ghita,5
LuTHieR,1
Steve91,4
Yves Reynhout,6
kasplurpo,4
danielmartinoli,2
David26th,1
Joe Boese,6
Charles Martin,0
AnuragSingh,0
Arivu2020,7
Becci,-2
Nicke,1
Chad Pry,3
Andrew Florko,2
Hadi Hariri,3
sabeur,5
Ha_Ha,0
rale,8
MRP,0
Kuzco,1
PreciousBodilyFluids,5
ca7l0s,1
Chris Edwards,0
Daniel Heath,0
Brian Michel,0
A Student at a University,1
Chris AtLee,8
Anonymous User,24
fuad,20
Jokin,5
Dustin Campbell,6
Justin Hamade,4
Aaron Tavistock,4
Mediocre Gopher,1
Jeg,0
Samvid,0
user319088,21
vene,4
mdob,2
user355002,1
autodidakto,7
QBJack,1
Lourenzo Ferreira,1
davidcrow,0
HotTester,4
Dilip Shah,1
mrteacup,2
santschi,3
ropperman,1
Alexander K.,3
iamdarrenhall,1
Rahul Waghmare,1
user176455,3
k.honsali,1
Phil Bachmann,2
Edward Tanguay,14
Brian Rogers,1
user26495,2
nickfox,2
salvationishere,1
Chaki_Black,4
promontis,3
Jay K,23
Novel,2
blue-sky,2
Dieter Raber,12
JJ80,1
Terry Smith,1
DFL,1
cynic2k,2
davesdig,1
agd,7
Mysrt,33
Sam L.,5
makAndShees,-2
Ahmad Satiri,0
Yaqoub Ghanem,0
KimR,2
Martin Barina,0
Linnet,0
fuwaneko,1
urbantruth,2
user291221,5
adharris,2
Louzzzzzz,1
Bogdan Nicolau,2
Tom Seago,10
esko22,22
Zjost,1
zendrums,0
Ruven Brooks,0
coffee-grinder,6
user279378,0
jray,29
netimen,5
Jaan,5
stasl,37
Rad The Mad,6
Brijesh Rai,0
Ronnie Liew,57
aogan,4
Ged Byrne,5
dotnetcoder,2
anderstornvig,27
Merritt,3
Bazuka,2
babasimana,0
Lewis Brach,1
Rasmus Franke,3
Ben Coppock,12
day break,0
A Y,0
yoyoyo,20
Tarek Eldeeb,1
vrvrvrv,1
mmsk,2
Django User,1
Jan Fici,0
Aillyn,11
Yavuz,1
TechSavvySam,30
RumburaK,3
Nolsto,1
Michael VS,0
Jay Shanker,0
Philippe Ombredanne,0
dukebody,0
user381062,1
vsevik,2
garageàtrois,6
Nods,0
coffeemate,5
darnpunk,0
cibyr,17
bigtony,5
Elan Hasson,2
xrd,3
Zafar,10
vedang,6
tardcaster,0
user127490,3
casper,6
David Alpert,8
Adam Cobb,1
Wesley Tarle,3
Ben Gottlieb,8
Jørn Jensen,4
Horst Peter,1
Roman Dementiev,9
NEParis,4
Ala Hamad,1
Satria,0
ram4nd,18
fiveeuros,0
pavi,1
moztech,3
user440942,0
Emrah Kaleli,0
Eric Chen,2
Neoscopio,2
Myddraall,3
AxelTheGerman,7
John Love,0
Barbloke6,6
user432297,5
Mogerli,4
Josh Carey,0
BlackSoil,4
dikamilo,0
whelanska,0
scottw67,1
Burak Obama,1
devIceMan,0
Vimal Raj,3
user307123,0
Big Rich,1
Darien,6
Lucian,7
meme,16
SomewhereThere,4
hungneox,0
PlaidFan,4
Aliyyah K,4
Daniel Paull,9
quant_dev,2
Jomit,1
Zhou Hao,0
markol,0
Tarhab,1
Torsten Marek,28
user15916,0
user55435,3
John Sansom,7
Fo.,9
nr404,0
Brian G. Peterson,29
maikhoepfel,8
Javier gonzalez,1
Wangrui,1
user428583,0
Loser Ateverything,0
skalinkin,1
peace97,8
Blackcoil,0
Amira,30
martan,0
Marquis,1
palswim,3
daveof,1
Marwelln,3
scaney,3
nagos,2
michaeltk,1
user328124,0
smirkingman,3
zakereen,0
ASP.Net Tutorials,2
Byron Sommardahl,3
bordicon,9
FKDev,2
Levelbit,0
Christopher Young,2
Caremy,1
user169337,7
anders dahl,0
Laird Nelson,4
dcr,1
iwasz,2
Steve Willard,70
Audun,15
janzi,0
ShiggityShaw,1
rcarrillopadron,3
Sali Hoo,3
Hypergiant,1
Hipchan,0
Tobidobi,4
TheDrakeMan,8
linqlearner,0
shishka,0
user483039,0
junes,-1
JellicleCat,28
Joao Augusto Zaratine,0
alfacan,1
MCroswell,0
Jagmag,2
Tadej,0
A.C. Byrne,0
Spudhead,2
dave evartt,1
Adelf,2
larz,4
stormblow,12
Nirbhay saini,1
ChadNC,0
Galal,14
deanvmc,3
Jarek Kowalski,1
msdin,7
pfonseca,1
rsa,0
Zakmobl,2
Rajkishor Sahu,1
Todd Hansen,1
XDecker,0
Wayne E. Pfeffer,0
Dave Nolan,14
Glen Solsberry,5
chaostheory,5
jbgoode,1
Naxos,0
Ivan Karpan,5
CodeZombie,1
Holsteinkaa,0
Aldo Bucchi,2
Zhongwei Sun,0
wonderwhy-er,0
Kinglink,8
subhash laghate,4
CoCoSYN,0
Jordan Pickwell,4
Carlos Martinez T.,0
adi78,0
user481996,3
CaptNickSparrow,0
user337672,0
Fixer,4
Joshua Peterson,2
partizan,7
Waldemar Kornewald,3
Lahsen Jakmouj,1
Maksym Zavershynskyi,1
Paul van Dam,3
user300981,11
user321047,2
user321249,2
JWWalker,6
IanT,2
Matthew Lowe,3
Matthijs Bierman,2
Mark Ewer,1
Ropsody,1
urlwtf,6
Neil Sarkar,11
Cimplicity,11
Michael Baird,1
AshleyS,2
hazimdikenli,2
Marco Panichi,1
Evan Byrne,0
Brian Kent,5
Sandeep Giri,12
user100464,21
Jan Wikholm,2
dball917,1
James Britt,3
rangfu,0
Micah Carrick,3
ImmortalBuddha,2
Hmmm,2
Santhosh.H.R,1
user518951,0
argv,4
kml_ckr,10
user475680,1
Eyhel-Chiu,2
Blaxx,0
Todd Buell,1
Me You,6
user404309,6
user414736,8
Chauncat,2
ilmart,2
user461943,2
italic,0
Ristovak,4
user354419,2
Shivaas,1
RPeden,1
James Ford,2
Lian Jim Keu,1
torak,2
GAURAV JAISWAL,1
Hasan Jaffal,0
WWC,19
user318580,1
jiyunatori,8
ucheng,2
Craig Wanstall,5
Ozan BAYRAM,2
Bytes,1
Aakar,0
user291302,0
M..,12
Thanh Nguyen,1
user150014,17
user141107,0
Adriaan Koster,5
John Lechowicz,5
empi,5
Paulo Lopes,3
user74502,2
sangretu,2
john_e,2
NXT,4
Steve Wilkie,0
nawar,1
LambellaJules,0
user10158561,0
matthewyang,0
Cshantz,1
Luke Page,4
NallaN,2
Dreiven,2
bits business,0
Jason Quentez,1
Kavya K.R,1
Bokhari,2
snrp,3
RGB,0
muskan,0
Stelios,5
Tux,2
miplz,1
Jack Nock,47
Peteris,1
iwtu,0
devson,1
atambo,2
Acanthus,3
user199085,19
George Sisco,0
AlanT,3
mcaulay,4
Michael Barker,4
ocergynohtna,7
Martin v. Löwis,7
Somatik,5
neoedmund,9
user523841,1
Eric Weismantel,2
MNB,0
stanga,8
Stian Soiland-Reyes,1
Mixologic,1
xend,1
aminfar,2
codinghead,1
OtrosSystems,17
Ahmet AYGÜN,7
Tran Hoang Duy Anh,0
KC - QA San Diego,2
qw3n,0
Waruna,0
da_didi,2
user284453,0
Zahid Bukhari,0
DerKlaus,5
sebastianwerler,0
user276690,0
pslice,5
Vino,0
Teaman,1
Beanz,4
ambiguousmouse,4
vitali_y,3
user118435,1
Clicktricity,2
Moka,3
jyf1987,3
pks83,1
riviera,5
meleyal,28
Captain Segfault,2
Antonio Cangiano,2
Spyder,2
user24591,1
Kurt Schelfthout,6
Frank Farm,9
Rob McLeod,1
James Franklin,1
PatS,1
dewy,0
Nextneed,0
Afjlahjhdlfkh,4
Shock,0
Chet Asborough,0
ceinmart,1
wblakenc,0
AngelLeliel,34
jmather,1
Srimal,0
user294419,1
Ru Sh,3
cooooldog,2
code_pro,9
Romain Deveaud,1
Defd,2
Rui Costa,8
DotnetLearner,3
gether roe,0
doublejosh,0
yeskay,6
larsmoa,3
jney,15
tksb,1
Rixy,0
Néstor,0
Cafeo,-3
Nigel,2
Lachlan Roche,6
Gopinath,6
Dia Kharrat,6
Nestor,3
czuk,6
pelleg,15
awall,2
Igor Zelaya,3
Sam Barnum,4
Mohamed Faramawi,2
seanosteen,0
gsmaker,2
Joakim Ditlev,0
Wenlong Guo,24
user451187,1
Ihor Lesiv,0
morongo,2
JohnEric,2
Max Steinmeyer,4
Greg Treleaven,20
YuriW,7
mshaaban,1
user405277,0
backspace7,0
LaurentH,4
user294146,0
Flassari,0
Syliddar,1
stista,0
spk,22
Latz,2
proba,24
user283620,2
user275880,3
Güter M.,1
roncli,1
Peter Moberg,6
HowHow,0
Alberto Marcone,0
Bobbins,0
nietaki,2
Sorin Mocanu,2
Nick Cox,1
nkspartan,1
Ramki,1
Ptah- Opener of the Mouth,4
soni,0
gotgenes,27
rtalbot,3
ChrisC_46259,1
capolise,8
user119494,7
NiGhTHawK,2
Christopher M. Judd,5
baquiano,1
HawkUK,1
"360Airwalk",24
Henry Mazza,4
MrWizard54,1
user460397,0
Anubhav Anand,6
Jinbom Heo,1
user521789,0
Ha11owed,1
user386908,0
Ian Fairman,3
JF Dion,1
user409618,0
Risto,1
Dil09,-4
Evandro Saroka,14
melkyades,1
Jan Markgraf,3
Klatys,30
Stiger,1
Petrus,2
JaakkoK,5
Pallavi Anderson,1
Mark Ringer,0
Marc-André Bertrand,5
Krzemo,2
jhale,5
Garthmeister J.,3
GilM,14
teeks99,5
GillouX,2
Mike T,11
rocke_amiga,5
itaj,0
Marc Uberstein,4
djrsargent,2
sstotok,2
Quentin Pradet,5
xamiro,0
Walter Deane,1
samdeV,35
BK Krish,5
Sheeraz,1
user427261,0
abser,1
Luis Garcia,3
Sorax,1
Aleksey Bieneman,11
omegayen,1
Naoise Golden,2
mariomc,10
brunson,0
Shenjun,3
hro,2
Yama,1
user306669,0
Decmac04,0
mgutt,10
user178973,4
user192610,37
porg,3
simplesimon,2
Ken Ratanachai S.,1
Stuart G,2
Don Jones,9
drumherum,4
Mateusz Kubiczek,2
david-ocallaghan,1
rnnbrwn,0
Pooch,1
user37875,25
pisswillis,5
realMarkusSchmidt,6
Sylvester,6
user79889,7
Sujoy,5
McLas,0
gbp,2
Johnny Everson,4
user548448,1
omatai,1
cobolstinks,0
Khoj,0
shim,3
scuzzy-delta,2
chironex,3
Andres Hurtis,1
dpinya,7
The Consumer,2
Roberto Ferraz,0
Ray Wu,0
Kennu,24
Nicetechnology,1
Justy,2
Wakusei,2
Forgoten dynasty,0
user381489,3
Billy R.,1
Michel Andrade,1
poster,1
Nate T.,3
samrin,0
NSSplendid,4
Mike Dearing,3
RabidZombie,2
tzenes,2
javad,0
tuomur,0
R P,2
UI developer,0
user271077,2
QuachNguyen,0
Suban,1
Bill Maier,1
Simon Nunn,1
M P,1
William Louth,0
Neoaikon,0
sourcerebels,2
anand.trex,7
Simon Laroche,1
Divide By Zero,77
Ascalonian,14
Frédéric Nowak,10
Joaquim Oliveira,0
mattgoody,15
patrykowy,0
roypierinni,1
tiplip,4
Dhana Krishnasamy,0
suhel,22
fringley,44
Andy Mc,4
James Reategui,3
Trigger Eugene,9
VijayR,0
warhead2020,0
John Godspeed,0
Dialecticus,1
Carlos Lescay,1
Qt.Net,1
judes,2
kula,5
voidvector,1
Travis Swicegood,6
Todd Matsumoto,1
IneQuation,4
niyati,1
Yousf,4
jhie,20
ryantmer,3
Alexander Millar,1
ftassi,2
user318969,0
awakenDeepBlue,21
CaptainThrowup,6
nnrcschmdt,1
Hoque,6
user206499,1
vivekraman,3
His,11
justintime,2
menardmam,2
notzach,17
Eric Anastas,7
levi_h,2
FlySwat,17
user17256,2
Sharmila,5
zakhar,1
Eugene Petrenko,2
Stuart Axon,2
emt14,1
ABSLife,2
thx1200,5
Niriel,3
user427859,0
Ivan Mikhailov,0
user429622,1
user449710,1
Richard Careaga,2
ronaktal,1
user338154,2
Peter Tennekes,1
user368021,9
Speed Nick,0
tks,1
Haiko Schol,2
TomEberhard,1
Sambo,3
mipata,5
abubacker,9
Dr Hydralisk,1
Philippe Signoret,12
Tim Holloway,1
dombesz,4
bshanks,13
Allice,1
Robert Abramski,1
Brad R,3
radesix,11
feiroox,7
SA.,4
fero46,1
thatha,8
Jamie Fenton,2
HBFan,5
Kieran Tully,2
CraigTP,11
Martijn Laarman,4
John Kaster,3
McJeff,2
m4r10,0
lgielgud,2
Steve Van Opstal,1
foobartux,0
redirect-rule,4
Hector Barbossa,2
quzui,0
Crossificio,3
user504749,3
Shai L,0
iosnewbie,0
Jon Heller,2
MunchyG,1
NewBieJSF,3
skan,6
user426546,5
umersunny,3
barjed,1
codeSucks,1
TheRealWorld,4
pimeson,2
Pankaj Pravin,0
PLyczkowski,1
Lars Denk,1
optimystery,0
aahrens,2
Ne0nx3r0,1
darren102,0
Lys,1
zpns,0
XAder,1
a51ts4,2
bokac,1
Shackles,1
some dude,0
G. Martin,1
John Danny,0
cornjuliox,5
Paul Hillman,0
Chandra Patni,15
Rand,0
Adam Soltys,0
redShadow,1
Marianne,2
bayu,1
FrenchData,2
Neelima,2
terminus,8
Aeon,6
Santosh Gokak,2
thePuck,4
TN.,4
Ken Keenan,6
MCS,24
Ivan Tanasijevic,0
Oliver M Grech,0
Cinco,1
sbl,1
Daniel Attfield,2
ezs,2
Atiya,0
EXC_BAD_ACCESS,3
Sarthak,1
user483144,8
Nim Gat,9
stuudent,1
shlomjmi,5
Zilog8,1
zbchen,4
user392688,1
Bhisham,1
Zohrab Broyan,0
Andrew Betts,18
Sébastien Gruhier,1
coffeebreaks,0
obijohn,5
FrederickCook,21
berliner,2
Steffen Jørgensen,1
Gerardo Jaramillo,0
Jeff Peck,1
Shamika,3
Fergus  ,1
Trystan Leftwich,0
batbrat,3
Jen the Heb,5
Marnix van Valen,3
Steve S,6
Jaspio,2
Jaco Pretorius,4
Vellakovil Kanaka Vel Sudan,0
Sam Edwards,7
Sukesh Marla,0
morinooji,1
Christian Loris,3
AllDayer,7
LorenzoMarchi,2
Satal,1
troyef,5
icanBany1,13
dxier,3
alkaloids,0
Sujay,5
EnriquitoPY,1
"58gh1z",3
diablo,4
ELS,0
Jon Renaut,1
Bryan Bedard,3
BigZ,4
Jakub Lédl,5
Robert Bruce,1
user271573,0
Devesh M,6
Fascia,1
Eastsun,11
big-z,36
user201349,0
DarshanG,10
Ciprian Bortos,1
Hamza Yerlikaya,88
Joshua Ball,211
molicule,8
Ryan Kirkman,33
Zombie8,1
brianjriddle,2
aaronsnoswell,6
matthew setter,0
jeanphix,0
Jesse Spielman      ,21
NewMan201,1
Ghimis Ionut,1
oino,5
Justin Daniels,2
Andrei Sherban,0
Blake Arnold,-1
Chernikov,1
Paul Topping,48
k_o_r,1
Herbert Balagtas,61
Dan Brickley,3
Stustu,3
Daniel Eliasson,4
mira,0
user306699,3
Guillaume Morin,9
Ashika Umanga Umagiliya,4
Lollertits,1
Mr_Hic-up,0
Morcalavin,1
Federico Ramallo,0
Shantanu,1
thorie,4
jmc,2
GuiSim,8
Neil Redfern,0
user159419,2
ollifant,14
doflynn,5
Dwight T,3
Dan Fitch,3
Nathan Neulinger,1
the-undefined,2
Run Run Run,0
aprencai,0
Orlando Leite,4
pigworker,12
jgravois,7
moohkooh,4
user486286,0
Geordie Stew,1
ludicode,1
Hans Schmidt,2
juanitodread,0
Anuj Saini,0
whoa,2
pilots,0
akira108,1
incidah,0
Giant Hare,1
twen_ta,0
Jonghee Park,0
vprorok,5
beerloveer,-5
user342231,8
speeder,3
garzanti,0
duder,2
user296598,4
Rilakkuma,1
Jordi Salvat i Alabart,23
Dolph,12
thepointofwork,2
pazuzu,0
Eric Eijkelenboom,3
Zerobu,2
Brett Cannon,5
Frerich Raabe,15
BlairHippo,6
Christophe Eblé,5
Niels R.,24
user147962,68
shrizza,4
McDowell,7
Frep D-Oronge,8
akashic,1
Herrmann,6
Richard Yorkshire,3
RuudKok,3
Shaili,1
Maola,2
Carole,1
Blackbam,4
Nitai,0
Ganesh Deo,1
Noxsarr,2
Patzo,3
user418964,0
echoKientics,1
tpeck,3
"14YearOldCuriousBoy",5
singfoom,2
user317622,2
user334118,0
PID,2
Paal Thorstensen,3
cchang,4
monkeyking,8
Trollkid,0
Ashish Nair,7
RCH,1
mjumbewu,10
AdamA,4
camillobruni,5
MostlyYes,7
Stanleymit,3
sawu,2
Zac Thompson,3
Alan Kay,456
Norbert Hartl,8
psiko.scweek,3
rsweetland,2
Pascal Cuoq,5
Nimlar,10
bmw0128,5
rnicholson,11
Jack Klein,29
John Murano,8
dsteele,1
Bodestone,0
Hath1,0
shameed,1
Slayer0248,3
Rupesh R Menon,13
codebauer,1
Bataglião,1
Drac,-1
S.M.Karthick,4
TwstdElf,1
Albert Mulder,1
donundeen,1
Robert Kaucher,4
user329430,0
yasouser,1
Cheolho,2
Dezigo,1
bharanitharan,2
Xipe,1
Sandhurst,1
user203616,4
Lloyd Quenby,2
Awano,1
user320691,0
sha1dy,3
therealtkd,5
Zev Spitz,0
tilish,6
BOverflow,0
Jonathas Carrijo,10
mintywalker,15
Dan Coates,10
None,3
pfunk,13
user24766,2
Kyle West,4
Sebastian Perez,2
AmeL,0
Mesocyclone,3
Nathaniel Dickerson,7
Flobbes,1
Didiergm,4
Farcical,3
Terris,1
Sean Canady,1
aac,1
kraklin,0
Petrus Repo,1
bcuzz,1
user431221,13
alphanumericone,1
Ayush Suman,0
Michael Ozeryansky,0
MarkusEm,6
user368916,2
yusuf metin,0
awynne,3
skooter,6
AndyTang,1
nono,5
Zaahid,1
madhavan,3
ThyMythos,4
Stephen Joy,19
Dennis Kioko,1
Stephen Falken,0
AdmSteck,2
Zmicier Zaleznicenka,0
mstr,0
Bactos,0
prewett,4
Mirrorlu,0
Doc Brown,2
manoj naik,1
HerrB,1
ush,1
zveljkovic,0
vrata,1
shino,7
MariusPontmercy,1
Werner Keil,0
Peter Rennie,3
Mark Booth,7
Chris Brandt,4
Peervm,34
Cary Jensen,3
user82928,10
kfh,1
Raj R,1
kch,35
user25906,0
ravicini,1
Goran Martinic,457
user547241,0
Rion Williams,7
ehope,11
Giovanni Bismondo,1
rana123,1
f20k,2
doubledian,0
r92,10
Gato3,0
damix911,2
user446236,4
Gregório Melo,1
voronaam,5
Matt Winward,3
VeroLom,8
Nolan Egly,1
lmkk,2
flohei,6
"380380",1
Mayank Jaimini,0
Luiz Siqueira Neto,1
Drew Miller,2
Phil Gordemer,9
liquorvicar,0
cocoanewbie,1
Webkungen,1
ChruS,0
Aleksandr,2
TheOx,0
tHeDoc,0
Melvin Peter,446
BoDiE2003,1
Marlorn,10
Decent Dabbler,4
dcruz,7
elRobbo,0
The Devil.,1
FabienB,1
Tomáš Holan,5
MarkNS,1
thestoneage,1
Steve Flook,3
Tarkus,1
Cheng Lai,10
alb,3
user5915,7
DavidGR,1
mika,5
Vincent McNabb,17
nitind,1
chilltemp,12
josemaria,0
AlanSB,0
leonjoho,0
gsi-frank,6
nikibrown,1
Perun,6
Swapnil Sonawane,1
user425772,17
Warren Stanley,1
rake,0
Apollon1954,6
user324333,1
user336058,0
Benjamin Taller,0
BartoszAdamczewski,2
K.Rijpstra,1
José Manuel Lucas,0
jbjuly,2
Gabriele Mondada,2
kuchipatchikun,4
lixon ,0
curiousMo,1
user305370,0
Fırat KÜÇÜK,1
Angelica ,1
kobe2,2
Thomas Herlea,0
linked,3
V.Anand,0
PoorLuzer,45
soccerazy,2
marqueed,0
Richard Davis,14
Emulic,0
pmarflee,2
Justin Walgran,4
Jon Cahill,17
Laurynas Pečiūra,3
James Camfield,6
Nekolux,0
Ken White,4
basil bc,4
Parthasarathi,0
Golmote Kinoko,2
kasgoku,0
user489824,1
wllmsaccnt,1
pmillio,0
Treper,0
Shinnawy,2
pmalmsten,3
user413025,0
tulip,0
user441648,0
Vilq,0
user479504,0
tadasz,0
opticron,1
Jason MacDonald,1
Chu SOon,1
shabyasachi,0
Eurydice,3
Karthik.P.S,0
Garima Kumar,1
Senica Gonzalez,2
asp_net,9
Ricky Levi,1
Aparna,1
Saranya,3
user215547,1
Steinbitglis,3
Jez Humble,18
alecnmk,0
BergmannF,1
s1n,3
veertien,4
Oliver Hanappi,5
HM.,2
user153642,4
Tramov,1
porta,0
arnabmitra,0
Michael McCray,5
brokenisfixed,0
Ryan Tomlinson,3
philba888,0
e k,27
Paul Nearney,2
Everett,1
Dan Fego,3
amsimmon,14
Jamie Horgan,14
onkelv,14
Harinder,6
Antoine Quint,1
Bushara,2
user557172,3
Rob Styles,10
Shashwat Srivastava,1
Michael Liu,11
Szymon Wybranski,6
Holstebroe,3
Ptico,15
jing boxian,2
windi,0
ZaMoose,3
Borkz,0
Gil Daniels,2
